site,month,spectra
DRIAMS-A,2015-11,964
DRIAMS-A,2015-12,2234
DRIAMS-A,2016-01,1213
DRIAMS-A,2016-02,2393
DRIAMS-A,2016-03,2540
DRIAMS-A,2016-04,2671
DRIAMS-A,2016-05,2741
DRIAMS-A,2016-06,3084
DRIAMS-A,2016-07,3071
DRIAMS-A,2016-08,3492
DRIAMS-A,2016-09,3692
DRIAMS-A,2016-10,3509
DRIAMS-A,2016-11,3035
DRIAMS-A,2016-12,3427
DRIAMS-A,2017-01,3399
DRIAMS-A,2017-02,3517
DRIAMS-A,2017-03,3684
DRIAMS-A,2017-04,3310
DRIAMS-A,2017-05,3504
DRIAMS-A,2017-06,3614
DRIAMS-A,2017-07,3823
DRIAMS-A,2017-08,3752
DRIAMS-A,2017-09,3297
DRIAMS-A,2017-10,3709
DRIAMS-A,2017-11,4062
DRIAMS-A,2017-12,3683
DRIAMS-A,2018-01,3807
DRIAMS-A,2018-02,1907
DRIAMS-A,2018-03,3991
DRIAMS-A,2018-04,3778
DRIAMS-A,2018-05,3789
DRIAMS-A,2018-06,3932
DRIAMS-A,2018-07,4489
DRIAMS-A,2018-08,4144
DRIAMS-A,unparseable_or_missing,0
