site,antibiotic,R,I,S,ambiguous,missing,other,labelled_RIS
DRIAMS-A,Piperacillin-Tazobactam,6143,403,21852,404,82455,0,28398
DRIAMS-A,Meropenem,4831,314,24386,260,81466,0,29531
DRIAMS-A,Ciprofloxacin,6751,711,23081,377,80337,0,30543
DRIAMS-A,Cefepime,5558,960,21958,387,82394,0,28476
DRIAMS-A,Cotrimoxazole,4845,27,21768,402,84215,0,26640
DRIAMS-A,Ceftazidime,1888,567,14937,296,93569,0,17392
DRIAMS-A,Amikacin,216,759,16247,211,93824,0,17222
DRIAMS-A,Levofloxacin,3569,404,16811,231,90242,0,20784
DRIAMS-A,Imipenem,5712,1160,22519,307,81559,0,29391
DRIAMS-A,Tobramycin,1639,56,16495,114,92953,0,18190
DRIAMS-A,Ceftriaxone,7116,183,19246,203,84509,0,26545
DRIAMS-A,Colistin,2850,0,15483,50,92874,0,18333
DRIAMS-A,Clindamycin,3488,149,7975,285,99360,0,11612
DRIAMS-A,Amoxicillin-Clavulanic acid,9884,36,15308,336,85693,0,25228
DRIAMS-A,Amoxicillin,121,15,493,0,110628,0,629
DRIAMS-A,Vancomycin,178,0,14898,19,96162,0,15076
DRIAMS-A,Penicillin,9579,302,3525,102,97749,0,13406
DRIAMS-A,Metronidazole,14,0,233,0,111010,0,247
DRIAMS-A,Erythromycin,4502,27,6550,225,99953,0,11079
DRIAMS-A,Tetracycline,3035,47,6836,344,100995,0,9918
DRIAMS-A,Fluconazole,81,184,410,10,110572,0,675
DRIAMS-A,Amphotericin B,0,0,616,2,110639,0,616
DRIAMS-A,Caspofungin,27,10,649,5,110566,0,686
DRIAMS-A,Micafungin,34,69,577,2,110575,0,680
DRIAMS-A,Anidulafungin,122,69,484,7,110575,0,675
DRIAMS-A,Itraconazole,104,148,416,23,110566,0,668
DRIAMS-A,5-Fluorocytosine,11,14,655,2,110575,0,680
DRIAMS-A,Voriconazole,26,3,473,11,110744,0,502
DRIAMS-A,Posaconazole,49,2,361,13,110832,0,412
DRIAMS-A,Ampicillin-Amoxicillin,21946,20,4905,161,84225,0,26871
DRIAMS-A,Ertapenem,251,37,14465,36,96468,0,14753
DRIAMS-A,Cefpodoxime,2338,0,4382,18,104519,0,6720
DRIAMS-A,Norfloxacin,752,119,5234,23,105129,0,6105
DRIAMS-A,Fosfomycin-Trometamol,1326,0,4803,25,105103,0,6129
DRIAMS-A,Nitrofurantoin,154,258,1696,41,109108,0,2108
DRIAMS-A,Linezolid,12,2,12274,1,98968,0,12288
DRIAMS-A,Teicoplanin,224,2,7465,45,103521,0,7691
DRIAMS-A,Tigecycline,41,7,12232,2,98975,0,12280
DRIAMS-A,Daptomycin,98,2,11284,27,99846,0,11384
DRIAMS-A,Gentamicin,2272,31,8276,210,100468,0,10579
DRIAMS-A,Gentamicin_high_level,106,0,580,0,110571,0,686
DRIAMS-A,Aztreonam,223,381,252,14,110387,0,856
DRIAMS-A,Minocycline,10,12,52,0,111183,0,74
DRIAMS-A,Meropenem_without_meningitis,5,0,137,0,111115,0,142
DRIAMS-A,Meropenem_with_meningitis,5,23,182,0,111047,0,210
DRIAMS-A,Chloramphenicol,28,0,175,0,111054,0,203
DRIAMS-A,Quinolones,11,1,199,0,111046,0,211
DRIAMS-A,Clarithromycin,57,2,254,0,110944,0,313
DRIAMS-A,Cefuroxime,4473,2,6103,152,100527,0,10578
DRIAMS-A,Oxacillin,4641,0,6344,165,100107,0,10985
DRIAMS-A,Cefazolin,4223,0,5813,145,101076,0,10036
DRIAMS-A,Rifampicin,475,67,10424,34,100257,0,10966
DRIAMS-A,Fusidic acid,3413,0,7224,244,100376,0,10637
DRIAMS-A,Rifampicin_1mg-l,2,0,8,0,111247,0,10
DRIAMS-A,Azithromycin,11,1,83,0,111162,0,95
DRIAMS-A,Cefixime,6,0,68,0,111183,0,74
DRIAMS-A,Moxifloxacin,71,20,320,3,110843,0,411
DRIAMS-A,Penicillin_with_other_infections,4,47,241,0,110965,0,292
DRIAMS-A,Penicillin_with_meningitis,58,0,233,1,110965,0,291
DRIAMS-A,Penicillin_with_pneumonia,12,0,281,0,110964,0,293
DRIAMS-A,Mupirocin,18,7,3790,3,107439,0,3815
DRIAMS-A,Aminoglycosides,19,1,102,2,111133,0,122
DRIAMS-A,Meropenem_with_pneumonia,0,0,70,0,111187,0,70
DRIAMS-A,Amoxicillin-Clavulanic acid_uncomplicated_HWI,24,0,56,0,111177,0,80
DRIAMS-A,Fosfomycin,47,0,34,0,111176,0,81
DRIAMS-A,Ticarcillin-Clavulan acid,5,0,0,0,111252,0,5
DRIAMS-A,Penicillin_without_endokarditis,39,102,184,0,110932,0,325
DRIAMS-A,Penicillin_with_endokarditis,39,139,152,0,110927,0,330
DRIAMS-A,Doxycycline,7,5,93,0,111152,0,105
DRIAMS-A,Cefoxitin_screen,5,0,47,0,111205,0,52
DRIAMS-A,Bacitracin,4,0,0,0,111253,0,4
DRIAMS-A,Vancomycin_GRD,0,0,12,0,111245,0,12
DRIAMS-A,Teicoplanin_GRD,2,0,10,0,111245,0,12
DRIAMS-A,Ceftarolin,10,0,27,0,111220,0,37
DRIAMS-A,Penicillin_without_meningitis,0,0,4,0,111253,0,4
DRIAMS-A,Cefuroxime.1,0,0,3,2,111252,0,3
