site,column,category,non_null,distinct_values
DRIAMS-B,species,metadata,5897,
DRIAMS-B,code,metadata,5897,
DRIAMS-B,combined_code,metadata,0,
DRIAMS-B,Amoxicillin-Clavulanic acid,antibiotic_RIS,1990,
DRIAMS-B,Amikacin,antibiotic_RIS,926,
DRIAMS-B,Ampicillin,antibiotic_RIS,1348,
DRIAMS-B,Cefepime,antibiotic_RIS,1689,
DRIAMS-B,Cefoxitin,antibiotic_RIS,800,
DRIAMS-B,Ceftazidime,antibiotic_RIS,940,
DRIAMS-B,Ceftriaxone,antibiotic_RIS,1085,
DRIAMS-B,Cefuroxime,antibiotic_RIS,803,
DRIAMS-B,Ciprofloxacin,antibiotic_RIS,2019,
DRIAMS-B,Ertapenem,antibiotic_RIS,805,
DRIAMS-B,Fosfomycin,antibiotic_RIS,1535,
DRIAMS-B,Gentamicin,antibiotic_RIS,1547,
DRIAMS-B,Imipenem,antibiotic_RIS,1215,
DRIAMS-B,Meropenem,antibiotic_RIS,916,
DRIAMS-B,Nitrofurantoin,antibiotic_RIS,1015,
DRIAMS-B,Norfloxacin,antibiotic_RIS,800,
DRIAMS-B,Piperacillin-Tazobactam,antibiotic_RIS,1175,
DRIAMS-B,Cotrimoxazol,antibiotic_RIS,1749,
DRIAMS-B,Benzylpenicillin,antibiotic_RIS,1075,
DRIAMS-B,Clindamycin,antibiotic_RIS,1033,
DRIAMS-B,Daptomycin,antibiotic_RIS,719,
DRIAMS-B,Erythromycin,antibiotic_RIS,948,
DRIAMS-B,Fusidic acid,antibiotic_RIS,736,
DRIAMS-B,Levofloxacin,antibiotic_RIS,1204,
DRIAMS-B,Linezolid,antibiotic_RIS,1142,
DRIAMS-B,Mupirocin,antibiotic_RIS,736,
DRIAMS-B,Oxacillin,antibiotic_RIS,731,
DRIAMS-B,Rifampicin,antibiotic_RIS,802,
DRIAMS-B,Teicoplanin,antibiotic_RIS,746,
DRIAMS-B,Tetracycline,antibiotic_RIS,877,
DRIAMS-B,Tigecycline,antibiotic_RIS,957,
DRIAMS-B,Vancomycin,antibiotic_RIS,1236,
DRIAMS-B,Clarithromycin,antibiotic_RIS,209,
DRIAMS-B,Gentamicin_high_level,antibiotic_RIS,215,
DRIAMS-B,Strepomycin_high_level,antibiotic_RIS,82,
DRIAMS-B,Metronidazole,antibiotic_RIS,32,
DRIAMS-B,Benzylpenicillin_others,antibiotic_RIS,27,
DRIAMS-B,Benzylpenicillin_with_meningitis,antibiotic_RIS,27,
DRIAMS-B,Benzylpenicillin_with_pneumonia,antibiotic_RIS,27,
DRIAMS-B,Minocycline,antibiotic_RIS,2,
DRIAMS-B,Cefoxitin_screen,binary_marker_0_1,739,"0, 1"
DRIAMS-B,Clindamycin_induced,binary_marker_0_1,877,"0, 1"
DRIAMS-B,ESBL,binary_marker_0_1,57,1
DRIAMS-B,MRSA,binary_marker_0_1,18,1
