site,column,category,rows,missing,missing_pct
DRIAMS-B,species,metadata,5897,0,0.0
DRIAMS-B,code,metadata,5897,0,0.0
DRIAMS-B,combined_code,metadata,5897,5897,100.0
DRIAMS-B,Amoxicillin-Clavulanic acid,antibiotic_RIS,5897,3907,66.25
DRIAMS-B,Amikacin,antibiotic_RIS,5897,4971,84.3
DRIAMS-B,Ampicillin,antibiotic_RIS,5897,4549,77.14
DRIAMS-B,Cefepime,antibiotic_RIS,5897,4208,71.36
DRIAMS-B,Cefoxitin,antibiotic_RIS,5897,5097,86.43
DRIAMS-B,Ceftazidime,antibiotic_RIS,5897,4957,84.06
DRIAMS-B,Ceftriaxone,antibiotic_RIS,5897,4812,81.6
DRIAMS-B,Cefuroxime,antibiotic_RIS,5897,5094,86.38
DRIAMS-B,Ciprofloxacin,antibiotic_RIS,5897,3878,65.76
DRIAMS-B,Ertapenem,antibiotic_RIS,5897,5092,86.35
DRIAMS-B,Fosfomycin,antibiotic_RIS,5897,4362,73.97
DRIAMS-B,Gentamicin,antibiotic_RIS,5897,4350,73.77
DRIAMS-B,Imipenem,antibiotic_RIS,5897,4682,79.4
DRIAMS-B,Meropenem,antibiotic_RIS,5897,4981,84.47
DRIAMS-B,Nitrofurantoin,antibiotic_RIS,5897,4882,82.79
DRIAMS-B,Norfloxacin,antibiotic_RIS,5897,5097,86.43
DRIAMS-B,Piperacillin-Tazobactam,antibiotic_RIS,5897,4722,80.07
DRIAMS-B,Cotrimoxazol,antibiotic_RIS,5897,4148,70.34
DRIAMS-B,Benzylpenicillin,antibiotic_RIS,5897,4822,81.77
DRIAMS-B,Clindamycin,antibiotic_RIS,5897,4864,82.48
DRIAMS-B,Daptomycin,antibiotic_RIS,5897,5178,87.81
DRIAMS-B,Erythromycin,antibiotic_RIS,5897,4949,83.92
DRIAMS-B,Fusidic acid,antibiotic_RIS,5897,5161,87.52
DRIAMS-B,Levofloxacin,antibiotic_RIS,5897,4693,79.58
DRIAMS-B,Linezolid,antibiotic_RIS,5897,4755,80.63
DRIAMS-B,Mupirocin,antibiotic_RIS,5897,5161,87.52
DRIAMS-B,Oxacillin,antibiotic_RIS,5897,5166,87.6
DRIAMS-B,Rifampicin,antibiotic_RIS,5897,5095,86.4
DRIAMS-B,Teicoplanin,antibiotic_RIS,5897,5151,87.35
DRIAMS-B,Tetracycline,antibiotic_RIS,5897,5020,85.13
DRIAMS-B,Tigecycline,antibiotic_RIS,5897,4940,83.77
DRIAMS-B,Vancomycin,antibiotic_RIS,5897,4661,79.04
DRIAMS-B,Clarithromycin,antibiotic_RIS,5897,5688,96.46
DRIAMS-B,Gentamicin_high_level,antibiotic_RIS,5897,5682,96.35
DRIAMS-B,Strepomycin_high_level,antibiotic_RIS,5897,5815,98.61
DRIAMS-B,Metronidazole,antibiotic_RIS,5897,5865,99.46
DRIAMS-B,Benzylpenicillin_others,antibiotic_RIS,5897,5870,99.54
DRIAMS-B,Benzylpenicillin_with_meningitis,antibiotic_RIS,5897,5870,99.54
DRIAMS-B,Benzylpenicillin_with_pneumonia,antibiotic_RIS,5897,5870,99.54
DRIAMS-B,Minocycline,antibiotic_RIS,5897,5895,99.97
DRIAMS-B,Cefoxitin_screen,binary_marker_0_1,5897,5158,87.47
DRIAMS-B,Clindamycin_induced,binary_marker_0_1,5897,5020,85.13
DRIAMS-B,ESBL,binary_marker_0_1,5897,5840,99.03
DRIAMS-B,MRSA,binary_marker_0_1,5897,5879,99.69
