antibiotic,dev_R,dev_I,dev_S,dev_class1,dev_class0,dev_minority_frac,dev_years_with_both_classes,dev_years_total,dev_class1_test_year,dev_groups_class1,dev_groups_class0,DRIAMS-B_class1,DRIAMS-B_class0,DRIAMS-C_class1,DRIAMS-C_class0,DRIAMS-D_class1,DRIAMS-D_class0,external_sites_meeting_min,external_sites_not_available,status,reasons,minority_count_dev,pooled_available_class1,pooled_available_class0,minority_count_available
Ampicillin-Amoxicillin,2913.0,0.0,1953.0,2913.0,1953.0,0.4014,4.0,4.0,811.0,1393.0,1065.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",1953,2913,1953,1953
Cotrimoxazole,1595.0,0.0,3293.0,1595.0,3293.0,0.3263,4.0,4.0,428.0,774.0,1689.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",1595,1595,3293,1595
Ciprofloxacin,1371.0,95.0,3445.0,1466.0,3445.0,0.2985,4.0,4.0,382.0,667.0,1797.0,59,154,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",1466,1525,3599,1525
Levofloxacin,1346.0,97.0,3415.0,1443.0,3415.0,0.297,4.0,4.0,377.0,660.0,1783.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",1443,1443,3415,1443
Amoxicillin-Clavulanic acid,1177.0,0.0,3649.0,1177.0,3649.0,0.2439,4.0,4.0,382.0,579.0,1899.0,76,137,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",1177,1253,3786,1253
Ceftriaxone,1085.0,1.0,3875.0,1086.0,3875.0,0.2189,4.0,4.0,256.0,498.0,1969.0,45,168,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",1086,1131,4043,1131
Cefpodoxime,874.0,0.0,1201.0,874.0,1201.0,0.4212,4.0,4.0,292.0,407.0,769.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",874,874,1201,874
Ceftazidime,506.0,365.0,3951.0,871.0,3951.0,0.1806,4.0,4.0,205.0,414.0,2013.0,45,168,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",871,916,4119,916
Cefepime,335.0,504.0,4051.0,839.0,4051.0,0.1716,4.0,4.0,203.0,399.0,2055.0,43,170,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",839,882,4221,882
Tobramycin,604.0,32.0,4240.0,636.0,4240.0,0.1304,4.0,4.0,166.0,295.0,2147.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"external sites not yet available: DRIAMS-C, DRIAMS-D",636,636,4240,636
Ampicillin,,,,,,,,,,,,136,77,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"no Ampicillin column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,136,77,77
Cotrimoxazol,,,,,,,,,,,,66,147,,,,,1,"DRIAMS-C, DRIAMS-D",pending,"no Cotrimoxazol column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,66,147,66
