site,species,n_rows,n_labelled
DRIAMS-B,Achromobacter insolitus,2,0
DRIAMS-B,Achromobacter sp[3],2,0
DRIAMS-B,Achromobacter xylosoxidans,4,3
DRIAMS-B,Acinetobacter baumannii,4,0
DRIAMS-B,Acinetobacter guillouiae,1,1
DRIAMS-B,Acinetobacter johnsonii,1,1
DRIAMS-B,Acinetobacter nosocomialis,1,0
DRIAMS-B,Acinetobacter parvus,2,0
DRIAMS-B,Acinetobacter pittii,4,3
DRIAMS-B,Acinetobacter ursingii,1,1
DRIAMS-B,Actinobaculum massiliense,1,0
DRIAMS-B,Actinomyces europaeus,3,0
DRIAMS-B,Actinomyces neuii,7,0
DRIAMS-B,Actinomyces odontolyticus,6,1
DRIAMS-B,Actinomyces oris,2,2
DRIAMS-B,Actinomyces turicensis,15,0
DRIAMS-B,Actinomyces urogenitalis,1,0
DRIAMS-B,Actinotignum sanguinis,2,0
DRIAMS-B,Actinotignum schaalii,16,0
DRIAMS-B,Aerococcus sanguinicola,8,7
DRIAMS-B,Aerococcus urinae,86,44
DRIAMS-B,Aerococcus viridans,1,0
DRIAMS-B,Aeromonas caviae,2,2
DRIAMS-B,Aeromonas media,1,0
DRIAMS-B,Aggregatibacter aphrophilus,11,0
DRIAMS-B,Aggregatibacter segnis,1,0
DRIAMS-B,Alcaligenes faecalis,1,0
DRIAMS-B,Anaerococcus murdochii,1,0
DRIAMS-B,Anaerococcus vaginalis,9,3
DRIAMS-B,Arcobacter butzleri,1,0
DRIAMS-B,Arthrobacter cumminsii,1,0
DRIAMS-B,Atopobium vaginae,2,0
DRIAMS-B,Bacillus cereus,8,1
DRIAMS-B,Bacillus circulans,1,0
DRIAMS-B,Bacillus licheniformis,1,0
DRIAMS-B,Bacillus mycoides,7,1
DRIAMS-B,Bacillus pumilus,5,0
DRIAMS-B,Bacillus simplex,1,0
DRIAMS-B,Bacillus thuringiensis,1,1
DRIAMS-B,Bacillus weihenstephanensis,1,0
DRIAMS-B,Bacteroides cellulosilyticus,1,0
