site,antibiotic,R,I,S,ambiguous,missing,other,labelled_RIS
DRIAMS-B,Amoxicillin-Clavulanic acid,61,15,137,0,0,0,213
DRIAMS-B,Amikacin,1,11,193,0,8,0,205
DRIAMS-B,Ampicillin,136,0,77,0,0,0,213
DRIAMS-B,Cefepime,43,0,170,0,0,0,213
DRIAMS-B,Cefoxitin,6,21,186,0,0,0,213
DRIAMS-B,Ceftazidime,45,0,168,0,0,0,213
DRIAMS-B,Ceftriaxone,45,0,168,0,0,0,213
DRIAMS-B,Cefuroxime,54,0,159,0,0,0,213
DRIAMS-B,Ciprofloxacin,58,1,154,0,0,0,213
DRIAMS-B,Ertapenem,2,0,211,0,0,0,213
DRIAMS-B,Fosfomycin,0,0,213,0,0,0,213
DRIAMS-B,Gentamicin,24,3,186,0,0,0,213
DRIAMS-B,Imipenem,0,0,213,0,0,0,213
DRIAMS-B,Meropenem,0,0,205,0,8,0,205
DRIAMS-B,Nitrofurantoin,3,0,210,0,0,0,213
DRIAMS-B,Norfloxacin,69,3,141,0,0,0,213
DRIAMS-B,Piperacillin-Tazobactam,49,0,164,0,0,0,213
DRIAMS-B,Cotrimoxazol,66,0,147,0,0,0,213
DRIAMS-B,Benzylpenicillin,0,0,0,0,213,0,0
DRIAMS-B,Clindamycin,0,0,0,0,213,0,0
DRIAMS-B,Daptomycin,0,0,0,0,213,0,0
DRIAMS-B,Erythromycin,0,0,0,0,213,0,0
DRIAMS-B,Fusidic acid,0,0,0,0,213,0,0
DRIAMS-B,Levofloxacin,0,0,0,0,213,0,0
DRIAMS-B,Linezolid,0,0,0,0,213,0,0
DRIAMS-B,Mupirocin,0,0,0,0,213,0,0
DRIAMS-B,Oxacillin,0,0,0,0,213,0,0
DRIAMS-B,Rifampicin,0,0,0,0,213,0,0
DRIAMS-B,Teicoplanin,0,0,0,0,213,0,0
DRIAMS-B,Tetracycline,0,0,0,0,213,0,0
DRIAMS-B,Tigecycline,0,0,0,0,213,0,0
DRIAMS-B,Vancomycin,0,0,0,0,213,0,0
DRIAMS-B,Clarithromycin,0,0,0,0,213,0,0
DRIAMS-B,Gentamicin_high_level,0,0,0,0,213,0,0
DRIAMS-B,Strepomycin_high_level,0,0,0,0,213,0,0
DRIAMS-B,Metronidazole,0,0,0,0,213,0,0
DRIAMS-B,Benzylpenicillin_others,0,0,0,0,213,0,0
DRIAMS-B,Benzylpenicillin_with_meningitis,0,0,0,0,213,0,0
DRIAMS-B,Benzylpenicillin_with_pneumonia,0,0,0,0,213,0,0
DRIAMS-B,Minocycline,0,0,0,0,213,0,0
