antibiotic,A 2015,A 2016,A 2017,A 2018,B 2018
Ertapenem,0.6423841059602649,0.691351888667992,0.6598682146219015,0.7065989847715736,1.0
Ceftriaxone,0.6423841059602649,0.6878727634194831,0.657044242234076,0.7035532994923858,1.0
Imipenem,0.6357615894039735,0.6824055666003976,0.6513962974584249,0.6994923857868021,1.0
Ciprofloxacin,0.6423841059602649,0.6769383697813122,0.6517100721681832,0.6979695431472082,1.0
Meropenem,0.6291390728476821,0.6853876739562624,0.6510825227486664,0.7,0.9624413145539906
Cefepime,0.6026490066225165,0.68389662027833,0.6454345779730154,0.6934010152284263,1.0
Ceftazidime,0.609271523178808,0.6744532803180915,0.637903984938814,0.6802030456852792,1.0
Amoxicillin-Clavulanic acid,0.5960264900662252,0.6694831013916501,0.6357075619705052,0.6918781725888324,1.0
Amikacin,0.6225165562913907,0.6709741550695825,0.6444932538437402,0.6903553299492385,0.9624413145539906
Piperacillin-Tazobactam,0.6026490066225165,0.6714711729622267,0.6335111390021965,0.6791878172588832,1.0
Colistin,0.6357615894039735,0.6858846918489065,0.6526513962974584,0.6974619289340102,0.0
Cotrimoxazole,0.6291390728476821,0.6749502982107356,0.6451208032632569,0.7,0.0
Ampicillin-Amoxicillin,0.6357615894039735,0.6754473161033797,0.6444932538437402,0.6888324873096446,0.0
Levofloxacin,0.6357615894039735,0.6709741550695825,0.6435519297144651,0.6908629441624365,0.0
Tobramycin,0.6225165562913907,0.6739562624254473,0.6448070285534986,0.6959390862944163,0.0
Nitrofurantoin,0.16556291390728478,0.16053677932405566,0.2221524945089426,0.22436548223350253,1.0
Norfloxacin,0.16556291390728478,0.15854870775347912,0.21932852212111703,0.22588832487309646,1.0
Fosfomycin,0.0,0.0,0.00031377470975839345,0.0015228426395939086,1.0
Cefuroxime,0.0,0.0,0.0,0.0010152284263959391,1.0
Gentamicin,0.0,0.0,0.0,0.0,1.0
Ampicillin,0.0,0.0,0.0,0.0,1.0
Cotrimoxazol,0.0,0.0,0.0,0.0,1.0
Cefoxitin,0.0,0.0,0.0,0.0,1.0
Cefpodoxime,0.16556291390728478,0.1595427435387674,0.32977721995607157,0.34416243654822337,0.0
Fosfomycin-Trometamol,0.16556291390728478,0.16053677932405566,0.22183871979918418,0.22538071065989848,0.0
