split,part,samples,resistant,susceptible,groups,sites,dates
random,train,2930,630,2300,1472,{'DRIAMS-A': 2930},2015-11-20 .. 2018-08-31
random,validation,421,92,329,214,{'DRIAMS-A': 421},2015-12-07 .. 2018-08-30
random,test,844,185,659,423,{'DRIAMS-A': 844},2015-11-20 .. 2018-08-31
within_year,train,1268,284,984,609,{'DRIAMS-A': 1268},2017-01-02 .. 2017-12-30
within_year,validation,179,39,140,84,{'DRIAMS-A': 179},2017-01-02 .. 2017-12-28
within_year,test,365,84,281,162,{'DRIAMS-A': 365},2017-01-02 .. 2017-12-30
temporal,train,2473,536,1937,1235,{'DRIAMS-A': 2473},2015-11-20 .. 2017-09-30
temporal,validation,459,104,355,235,{'DRIAMS-A': 459},2017-10-02 .. 2017-12-30
temporal,test,1208,246,962,639,{'DRIAMS-A': 1208},2018-01-03 .. 2018-08-31
external,train,3776,818,2958,1893,{'DRIAMS-A': 3776},2015-11-20 .. 2018-08-31
external,validation,419,89,330,216,{'DRIAMS-A': 419},2015-11-22 .. 2018-08-28
external,test,2150,428,1722,2150,"{'DRIAMS-B': 212, 'DRIAMS-D': 1938}",None .. None
