setting,subsample,reg_lambda,num_leaves,n_estimators,min_child_samples,learning_rate,colsample_bytree,class_weight,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,0.7,10.0,15,100,20,0.01,0.3,balanced,0.7549307613029199,0.024919447054699208,0.5596139910313381,0.02624709970055423,3.1025149822235107,25
1,1.0,1.0,31,100,20,0.01,1.0,none,0.7428329740859868,0.02728906298612781,0.554500809911385,0.03583725238495653,11.215045881271362,30
2,1.0,10.0,31,300,20,0.1,0.3,balanced,0.7693325572882002,0.01866538875521915,0.6017963552724455,0.028319765662151948,10.3386625289917,10
3,1.0,1.0,7,100,20,0.03,0.3,balanced,0.7705306752101035,0.02172726101106195,0.5866264731660167,0.03892172628703668,2.8444839477539063,8
4,1.0,1.0,7,300,10,0.03,0.1,balanced,0.7755275098923484,0.025601793991582116,0.6016685379267078,0.03577729139416915,3.1659112930297852,3
5,0.7,10.0,31,300,10,0.03,0.1,none,0.7663719812485361,0.02155441128817052,0.5835461771966062,0.03259109503053413,5.796699333190918,14
6,1.0,10.0,7,100,40,0.1,0.3,balanced,0.7626228581510328,0.020460204205711516,0.5783517734215413,0.037027775002786145,2.3846460342407227,19
7,0.7,0.0,7,300,40,0.1,0.1,none,0.7528504280911206,0.017182739616079412,0.5575168064271427,0.031930136150206935,2.569777727127075,29
8,1.0,10.0,7,600,10,0.01,1.0,balanced,0.7701857838775747,0.025414454008685857,0.5866905811098759,0.04172954173563823,23.006503057479858,9
9,0.7,10.0,31,600,40,0.1,0.3,balanced,0.7583461015517335,0.025780853933288175,0.5833245882321075,0.03980939363843385,12.04223690032959,23
10,1.0,0.0,15,600,20,0.1,1.0,none,0.7686699883711816,0.029471028216069523,0.5962465926277175,0.04117002104911573,51.47286915779114,11
11,1.0,10.0,7,300,20,0.03,1.0,none,0.771423327065265,0.027275217785943284,0.596620246799926,0.039774165670475335,13.009513902664185,6
12,0.7,10.0,15,600,10,0.1,0.3,none,0.7667409502441513,0.021796431033229306,0.5818544470898448,0.02697676408044071,12.144796133041382,13
13,0.7,0.0,15,300,40,0.1,0.3,none,0.7627748827490877,0.027786860728241575,0.5739217067963203,0.04072550352853808,7.938088464736938,18
14,0.7,0.0,7,100,10,0.03,1.0,balanced,0.7667735619402272,0.02736131980629703,0.5787405177824709,0.04262823068106388,6.065054988861084,12
15,0.7,10.0,7,600,20,0.03,0.1,none,0.7655968167342356,0.02685704717614833,0.5874716910985002,0.03625996337953098,6.012546443939209,17
16,0.7,10.0,15,100,40,0.1,1.0,balanced,0.754413972836281,0.0267462628262581,0.5673959274254352,0.043017883921604404,10.081832122802734,26
17,1.0,0.0,31,100,40,0.1,0.3,balanced,0.754109738729966,0.03426592076948566,0.5743408926410197,0.044904785968736455,10.676220369338989,27
18,0.7,0.0,15,300,20,0.01,0.3,none,0.7709575566373981,0.026884040903395627,0.5940430193259224,0.034011584006709526,12.681164121627807,7
19,1.0,10.0,31,300,20,0.01,1.0,balanced,0.7589958535280511,0.021858625698274268,0.580310261108808,0.025868400986685663,48.68714551925659,22
20,1.0,0.0,7,300,40,0.03,0.1,balanced,0.7724250208247634,0.022620893696382257,0.5958830206755341,0.03595021749208919,4.922432613372803,5
21,1.0,10.0,31,300,10,0.1,0.3,none,0.7769253993675761,0.02220012250855757,0.6005594141066805,0.028513983122879873,22.538355016708373,1
22,1.0,0.0,31,600,40,0.1,1.0,balanced,0.7663041471260963,0.02769715857557005,0.5957617238802702,0.037716131797404504,55.569643068313596,15
23,0.7,0.0,15,100,10,0.01,0.3,balanced,0.7580366573328944,0.02166839965982761,0.5587495093080286,0.0200514602236971,5.0727321147918705,24
24,0.7,1.0,7,100,20,0.1,1.0,balanced,0.7596439257026582,0.01816639161715756,0.5639106641117307,0.04293911859623026,5.246716260910034,21
25,0.7,10.0,7,300,10,0.1,0.1,balanced,0.7535943317241917,0.02175800757184881,0.5592187154964308,0.03717225991863062,3.0156957149505614,28
26,0.7,10.0,31,600,40,0.03,0.1,none,0.7657572504399381,0.021317626962474273,0.5839386431192966,0.034832218460222615,7.271072006225586,16
27,0.7,1.0,15,600,20,0.01,0.1,balanced,0.774593569906702,0.019762712835685387,0.5934288901421442,0.027233835606079976,18.7698326587677,4
28,0.7,0.0,15,300,20,0.1,0.1,balanced,0.7612727150528122,0.026136275076123098,0.5812983115884376,0.0371799225627167,20.546437644958495,20
29,1.0,1.0,15,600,40,0.01,0.3,balanced,0.776350473436308,0.026458040638910302,0.598400119538782,0.03924675963552612,79.08354792594909,2
