setting,C,class_weight,features,penalty,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,0.0001,none,bins_3da,l2,0.7134895410598958,0.03034199281135564,0.4949279063881681,0.03791650297603746,1.295628547668457,47
1,0.0001,none,bins_18da,l2,0.6765214145095906,0.038008764833228424,0.42649227936979806,0.04881160290490189,0.17548656463623047,90
2,0.0001,none,pca_50,l2,0.6898460541249682,0.026035835914384506,0.4465787360896809,0.03386707266205868,0.8435147285461426,67
3,0.0001,none,pca_200,l2,0.7034114598711664,0.022416519999159206,0.481469424472599,0.030292376297260865,1.8055434226989746,55
4,0.0001,none,kbest_300,l2,0.7226403470441648,0.02473597642453729,0.49867067050008657,0.05138813942794682,0.5237465858459472,17
5,0.0001,none,kbest_1000,l2,0.7156595723003464,0.026484728062891167,0.48736812349669556,0.04457191979435945,0.4891090393066406,46
6,0.0001,balanced,bins_3da,l2,0.7187689340362816,0.029920316589048628,0.4925807808960084,0.03649865597398328,0.48038530349731445,33
7,0.0001,balanced,bins_18da,l2,0.6880090710652207,0.036379616378278794,0.4375273972767693,0.04879651089055039,0.1825572967529297,70
8,0.0001,balanced,pca_50,l2,0.6977218215854532,0.024942285092925776,0.4433946684166813,0.033635272954889966,0.8723518371582031,60
9,0.0001,balanced,pca_200,l2,0.7108109244057317,0.020902385901797875,0.4781225811123731,0.029204393604267586,1.7720759391784668,52
10,0.0001,balanced,kbest_300,l2,0.7277842973126702,0.0250089456705609,0.5030337496133793,0.048558684203711115,0.574798583984375,12
11,0.0001,balanced,kbest_1000,l2,0.7207193382253733,0.025635841244205454,0.48964793990651395,0.042045788589547904,0.5406243324279785,24
12,0.001,none,bins_3da,l2,0.7180212125832226,0.030909329979328094,0.5047922819788829,0.04283333395339642,0.78990159034729,34
13,0.001,none,bins_18da,l2,0.7294491687708392,0.02754183588889111,0.5135896743304065,0.03783420087537171,0.24337615966796874,10
14,0.001,none,pca_50,l2,0.7128608254368641,0.026140198913351897,0.48878965132035346,0.020463536988666785,0.8624434471130371,49
