setting,class_weight,max_features,min_samples_leaf,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,none,sqrt,1,0.733593736322676,0.019359488429889205,0.52860652146633,0.02400863254299545,11.483191442489623,11
1,none,sqrt,3,0.7405449972580567,0.015650053531769938,0.5421152891596208,0.021005004315585125,9.406953191757202,10
2,none,sqrt,10,0.745374236274071,0.01508152022680471,0.5502689471149469,0.026698256474587803,6.527899932861328,8
3,none,log2,1,0.6677535195593405,0.026992626878019177,0.40365261909122047,0.04100386489171893,2.1521862030029295,18
4,none,log2,3,0.6846434892718077,0.03180432142563253,0.43721819782193805,0.03760242192306447,1.9093634605407714,17
5,none,log2,10,0.693354706786266,0.0380239216351047,0.43730433931486423,0.05808081881703967,1.6329262256622314,14
6,none,0.05,1,0.7317395744808655,0.023294535750957877,0.5483543367620022,0.02197115327183934,56.60674209594727,12
7,none,0.05,3,0.7442055440051975,0.020552367133126043,0.5577671908324594,0.01484938352059593,49.31746640205383,9
8,none,0.05,10,0.756179344568063,0.022229750415866438,0.5694048000192607,0.023255640967938227,32.99678521156311,4
9,balanced_subsample,sqrt,1,0.7498429700014195,0.02783527315921488,0.5489555854493073,0.03583848044652776,8.29866394996643,7
10,balanced_subsample,sqrt,3,0.7512217277383823,0.02718747655196656,0.5521157276653705,0.0369505607234028,8.223144149780273,6
11,balanced_subsample,sqrt,10,0.7540571130226346,0.022595658701242707,0.5487579693924068,0.029990280540027735,7.07652645111084,5
12,balanced_subsample,log2,1,0.6912009937552815,0.05735654043606658,0.44241038131424587,0.05880951354075543,3.1967123985290526,15
13,balanced_subsample,log2,3,0.6910033032149496,0.04923116381241357,0.45227386219788335,0.06437380058530325,3.568988037109375,16
14,balanced_subsample,log2,10,0.6978646791729461,0.051264858781518846,0.44988609894173504,0.062009396640348574,2.9158701419830324,13
15,balanced_subsample,0.05,1,0.7599235091107385,0.021242596679549974,0.563854413097925,0.01786275713629172,67.52838377952575,3
16,balanced_subsample,0.05,3,0.7656238767298025,0.022652193144687707,0.5733419891972812,0.017919592429197113,26.339455699920656,1
17,balanced_subsample,0.05,10,0.7651564656102049,0.018778094885736858,0.571402026428031,0.019378325925241375,24.99004364013672,2
