setting,subsample,reg_lambda,num_leaves,n_estimators,min_child_samples,learning_rate,colsample_bytree,class_weight,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,0.7,10.0,15,100,20,0.01,0.3,balanced,0.713050289256324,0.040559689643149016,0.5212039753830653,0.03098283225237994,2.577462005615234,5
1,1.0,1.0,31,100,20,0.01,1.0,none,0.6906142995680156,0.03244310145343,0.4681847668237932,0.03335959808855673,9.092286968231202,27
2,1.0,10.0,31,300,20,0.1,0.3,balanced,0.7184898281486075,0.03217414986422846,0.544211262960731,0.025930112793096583,6.461591053009033,2
3,1.0,1.0,7,100,20,0.03,0.3,balanced,0.6985254645885204,0.03636498816758744,0.502915673498953,0.010964266823229697,2.083452653884888,16
4,1.0,1.0,7,300,10,0.03,0.1,balanced,0.7012776754309964,0.03688601492869602,0.5114042431928494,0.009589559595948989,2.090094566345215,13
5,0.7,10.0,31,300,10,0.03,0.1,none,0.7116633074629044,0.02849727919278904,0.5180975021666752,0.012026118037529208,3.8071423053741453,7
6,1.0,10.0,7,100,40,0.1,0.3,balanced,0.6950825497724556,0.035198497954526314,0.5005210977026114,0.025187525915901215,1.7622769355773926,21
7,0.7,0.0,7,300,40,0.1,0.1,none,0.6970720389606836,0.010352081650239212,0.48712703226335485,0.016243960654111815,2.448473834991455,18
8,1.0,10.0,7,600,10,0.01,1.0,balanced,0.7029162631062147,0.02454890662911965,0.5056195650122146,0.015618542571926243,22.629709434509277,11
9,0.7,10.0,31,600,40,0.1,0.3,balanced,0.698046647332245,0.022318283326006022,0.5072484965154122,0.02134229220660616,6.637525367736816,17
10,1.0,0.0,15,600,20,0.1,1.0,none,0.6947155985614704,0.021949381387751103,0.5141862220446968,0.007940497475826903,7843.180285549164,23
11,1.0,10.0,7,300,20,0.03,1.0,none,0.696046647332245,0.021994368263510335,0.5111932080480994,0.019606751563070627,10.403143262863159,20
12,0.7,10.0,15,600,10,0.1,0.3,none,0.7011510380091626,0.03477187875091204,0.5134591626521909,0.01764086566866036,11.223098087310792,14
13,0.7,0.0,15,300,40,0.1,0.3,none,0.6824984739182909,0.023989029867640798,0.5011666479428357,0.0081305303448085,6.4527976512908936,30
14,0.7,0.0,7,100,10,0.03,1.0,balanced,0.6949511182652525,0.03872405288012415,0.4971144842211136,0.023873117648788023,3.6807350158691405,22
15,0.7,10.0,7,600,20,0.03,0.1,none,0.69976130349266,0.019085853015089187,0.5200929756085538,0.017933270475143034,3.2146708488464357,15
16,0.7,10.0,15,100,40,0.1,1.0,balanced,0.7072770537503001,0.03410060019550717,0.5037236622435157,0.031139528720033886,3.3944397449493406,10
17,1.0,0.0,31,100,40,0.1,0.3,balanced,0.6905079921689511,0.026704302295682006,0.5011810993910212,0.0172549431458206,3.6029442310333253,28
18,0.7,0.0,15,300,20,0.01,0.3,none,0.718382403548292,0.03460372866762566,0.5276338551191507,0.021223269437023153,7.157616710662841,3
19,1.0,10.0,31,300,20,0.01,1.0,balanced,0.6939173103873877,0.0316443300816059,0.4858623848786407,0.022558450965442085,18.584111547470094,24
20,1.0,0.0,7,300,40,0.03,0.1,balanced,0.696589689220452,0.02936294046525631,0.5047008005168471,0.012146820987093656,1.7792192935943603,19
21,1.0,10.0,31,300,10,0.1,0.3,none,0.7112971542528128,0.02797262471835188,0.5285637495743443,0.014618655465662012,7.474952650070191,8
22,1.0,0.0,31,600,40,0.1,1.0,balanced,0.687256650767449,0.016325902255102394,0.501426945115926,0.012425614459409866,23.474210119247438,29
23,0.7,0.0,15,100,10,0.01,0.3,balanced,0.7174383350509352,0.03298958616548971,0.5206817075962628,0.031765317507459166,4.038381147384643,4
24,0.7,1.0,7,100,20,0.1,1.0,balanced,0.6915528975792453,0.021383506479963718,0.4808130535054073,0.022477753660115323,4.6090168952941895,26
25,0.7,10.0,7,300,10,0.1,0.1,balanced,0.701875742900832,0.022737959601933446,0.5139496086520786,0.03331955771103302,2.687402677536011,12
26,0.7,10.0,31,600,40,0.03,0.1,none,0.7129849094230984,0.01582502794534206,0.52533604691446,0.01645557040065893,4.578188800811768,6
27,0.7,1.0,15,600,20,0.01,0.1,balanced,0.719669060669348,0.031051903341129786,0.5302653625095385,0.02418323555891871,7.547741317749024,1
28,0.7,0.0,15,300,20,0.1,0.1,balanced,0.6933404788613362,0.01998591519293186,0.49919787718817005,0.02283092243757126,4.074793910980224,25
29,1.0,1.0,15,600,40,0.01,0.3,balanced,0.7092307636184552,0.03470242465066713,0.5279013325086199,0.01238945536622363,13.905027627944946,9
