setting,C,class_weight,gamma,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,0.01,none,1e-05,0.7044953653019158,0.030370587175597444,0.5236861095448683,0.03424392062997459,39.166035652160645,14
1,0.01,none,0.0001,0.711886275981479,0.031698986917640455,0.5374029649837845,0.03289694847984586,55.64833550453186,3
2,0.01,none,0.001,0.6161940837587327,0.04840512688452572,0.3306520700889224,0.05514366283346857,51.384698152542114,21
3,0.01,balanced,1e-05,0.598766672927993,0.04215586827056533,0.33333123399218767,0.04822473450516991,46.96547017097473,32
4,0.01,balanced,0.0001,0.5959453057857529,0.04710141864238588,0.3227574936577095,0.06026048815995401,38.68018622398377,34
5,0.01,balanced,0.001,0.5916541679049889,0.06171862004830993,0.30503091731288595,0.05297555658331733,36.96873350143433,35
6,0.1,none,1e-05,0.7071701503991106,0.03391271305716717,0.5264778806281067,0.039112537361005395,21.567478084564208,13
7,0.1,none,0.0001,0.7114650586613485,0.03207217725592829,0.537018695826336,0.03279713148253474,26.638658475875854,4
8,0.1,none,0.001,0.6090268600491504,0.05148186886657,0.3233749353955956,0.054412895295131596,32.03385910987854,29
9,0.1,balanced,1e-05,0.598766672927993,0.04215586827056533,0.33333123399218767,0.04822473450516991,37.43218970298767,32
10,0.1,balanced,0.0001,0.6081995658486701,0.04540751622810959,0.33588174852375735,0.06097935615184991,38.66817779541016,30
11,0.1,balanced,0.001,0.5916541679049889,0.06171862004830993,0.30503091731288595,0.05297555658331733,36.3222734451294,35
12,1.0,none,1e-05,0.7076570914074638,0.033958392302865306,0.527351669807388,0.03906004094984785,22.232838201522828,12
13,1.0,none,0.0001,0.7109400485357338,0.03214776841734511,0.541198168834504,0.03358351806646437,27.604752445220946,5
14,1.0,none,0.001,0.6081994281614496,0.05167482448270917,0.3233201673554153,0.054530999201545104,33.81572160720825,31
15,1.0,balanced,1e-05,0.6597274034302643,0.039220032702697694,0.39997285183707826,0.04680052715879445,33.575075197219846,20
16,1.0,balanced,0.0001,0.7187935904468157,0.03372401913956078,0.4807913087992163,0.04760113097749496,1667.212032222748,1
17,1.0,balanced,0.001,0.6126416759776953,0.05029896514244142,0.3272245190895909,0.05257392404849003,63.01999516487122,28
18,10.0,none,1e-05,0.7043099473582283,0.03244434502756784,0.5205234677860827,0.03776860029811996,29.529159832000733,15
19,10.0,none,0.0001,0.7091173550283701,0.03272591186165348,0.49404945643491993,0.045664383590814456,37.391837215423585,10
20,10.0,none,0.001,0.6140870711280133,0.049502765521390615,0.32747311728780437,0.05160966796892091,39.32697591781616,22
21,10.0,balanced,1e-05,0.7126904471057702,0.03452729525055435,0.4841937197582662,0.04267547662610128,28.73443627357483,2
22,10.0,balanced,0.0001,0.7087759376343479,0.03280020752946071,0.49446841507183736,0.045811408950967074,38.23656225204468,11
23,10.0,balanced,0.001,0.6140870711280133,0.049502765521390615,0.32747311728780437,0.05160966796892091,38.2214608669281,22
24,100.0,none,1e-05,0.676867163434582,0.032872625130317475,0.42925978068060955,0.04473020184053137,31.553881883621216,19
25,100.0,none,0.0001,0.7091978798948808,0.03293028485110836,0.4944076163133784,0.04613814685709594,39.03472528457642,6
26,100.0,none,0.001,0.6140870711280133,0.049502765521390615,0.32747311728780437,0.05160966796892091,41.77091431617737,22
27,100.0,balanced,1e-05,0.6785010210923224,0.0341674130656954,0.43165421820318794,0.04731667897458654,38.65687298774719,16
28,100.0,balanced,0.0001,0.7091978798948808,0.03293028485110836,0.4944076163133784,0.04613814685709594,41.42051753997803,6
29,100.0,balanced,0.001,0.6140870711280133,0.049502765521390615,0.32747311728780437,0.05160966796892091,39.89525294303894,22
30,1000.0,none,1e-05,0.6780480627189782,0.03273565115577952,0.42794995029139055,0.044858985595602675,33.82916135787964,17
31,1000.0,none,0.0001,0.7091978798948808,0.03293028485110836,0.4944076163133784,0.04613814685709594,38.943356609344484,6
32,1000.0,none,0.001,0.6140870711280133,0.049502765521390615,0.32747311728780437,0.05160966796892091,44.29907536506653,22
33,1000.0,balanced,1e-05,0.6780480627189782,0.03273565115577952,0.42794995029139055,0.044858985595602675,36.24836325645447,17
34,1000.0,balanced,0.0001,0.7091978798948808,0.03293028485110836,0.4944076163133784,0.04613814685709594,43.86190810203552,6
35,1000.0,balanced,0.001,0.6140870711280133,0.049502765521390615,0.32747311728780437,0.05160966796892091,48.044241762161256,22
