setting,subsample,reg_lambda,num_leaves,n_estimators,min_child_samples,learning_rate,colsample_bytree,class_weight,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,0.7,10.0,15,100,20,0.01,0.3,balanced,0.7109608523497302,0.04881323263868073,0.5288335206879691,0.06419536761819214,4.075174951553345,23
1,1.0,1.0,31,100,20,0.01,1.0,none,0.6961034543795598,0.044840167335293654,0.503082653921288,0.06107420203287315,14.217652845382691,30
2,1.0,10.0,31,300,20,0.1,0.3,balanced,0.7201363358189432,0.05722741133164785,0.5464555423521793,0.06474394988082875,11.430605936050416,16
3,1.0,1.0,7,100,20,0.03,0.3,balanced,0.7233005058217937,0.0338589979785077,0.5370546356578954,0.06504972709235861,3.8466725826263426,11
4,1.0,1.0,7,300,10,0.03,0.1,balanced,0.7102080255986953,0.046357611967938306,0.5144208948403293,0.06764602356010489,4.363941717147827,24
5,0.7,10.0,31,300,10,0.03,0.1,none,0.7320181144031144,0.05503382102608992,0.5432315989295942,0.06613558769305528,8.3510027885437,4
6,1.0,10.0,7,100,40,0.1,0.3,balanced,0.7193990378805475,0.049489123141522366,0.5288876533578599,0.06872221750338801,3.9140782356262207,18
7,0.7,0.0,7,300,40,0.1,0.1,none,0.6964272597056863,0.057462919303800146,0.495395517909731,0.06474256549489223,4.3327014446258545,29
8,1.0,10.0,7,600,10,0.01,1.0,balanced,0.7273215410842871,0.03774746631636077,0.5463602424040868,0.04773433325760117,31.925249576568604,8
9,0.7,10.0,31,600,40,0.1,0.3,balanced,0.7089710378429487,0.06713070364037739,0.5309650413782703,0.08119454833029083,11.016662549972533,25
10,1.0,0.0,15,600,20,0.1,1.0,none,0.7212747256985726,0.05069856377018344,0.5439149728053676,0.07165379370438874,34.68354425430298,13
11,1.0,10.0,7,300,20,0.03,1.0,none,0.7209864464015666,0.04235392571497132,0.5470784471610645,0.049172516379888585,9.280859279632569,14
12,0.7,10.0,15,600,10,0.1,0.3,none,0.7060063570157946,0.055779068011547694,0.5209907361190604,0.06948519049355012,17.19611496925354,27
13,0.7,0.0,15,300,40,0.1,0.3,none,0.7146703400321227,0.04960383674619941,0.5263123288418431,0.06338933123990116,12.82091474533081,22
14,0.7,0.0,7,100,10,0.03,1.0,balanced,0.7355675995969665,0.0348323409876411,0.5353031305885947,0.05443588912389979,6.952841901779175,1
15,0.7,10.0,7,600,20,0.03,0.1,none,0.7275668779805262,0.060933010965019366,0.5304286839010972,0.06903288035431127,4.288382577896118,7
16,0.7,10.0,15,100,40,0.1,1.0,balanced,0.7205143495465786,0.053747726852823814,0.5284321270262169,0.0669006724603499,3.304984188079834,15
17,1.0,0.0,31,100,40,0.1,0.3,balanced,0.7254701071714322,0.04243457165596217,0.534884266877474,0.05889694658312245,4.174235916137695,10
18,0.7,0.0,15,300,20,0.01,0.3,none,0.7304776462347531,0.05265609682781741,0.5430328798911891,0.06798164903077905,7.638426065444946,6
19,1.0,10.0,31,300,20,0.01,1.0,balanced,0.7341760031946725,0.04573770840625303,0.5541429109241715,0.062439014735058335,15.389327144622802,3
20,1.0,0.0,7,300,40,0.03,0.1,balanced,0.717230101450687,0.040009264788840364,0.515184908231621,0.06527262441859501,2.1497305393218995,21
21,1.0,10.0,31,300,10,0.1,0.3,none,0.7262650736429036,0.06044316647394172,0.5483906212354486,0.06325868885612357,7.961795949935913,9
22,1.0,0.0,31,600,40,0.1,1.0,balanced,0.7214321988122527,0.05260646000811011,0.5343461720468932,0.06289263950620053,22.66181526184082,12
23,0.7,0.0,15,100,10,0.01,0.3,balanced,0.7189358925997418,0.04981094766815753,0.5270635585738532,0.06321232815133405,3.3076359748840334,19
24,0.7,1.0,7,100,20,0.1,1.0,balanced,0.7186689204881491,0.04718067765113181,0.5238178010613123,0.06775527688427738,3.8753534317016602,20
25,0.7,10.0,7,300,10,0.1,0.1,balanced,0.704339436034647,0.057100424638058464,0.5071047385635947,0.049379087920700504,2.061929225921631,28
26,0.7,10.0,31,600,40,0.03,0.1,none,0.7304985963951209,0.06169325004940386,0.539306155254864,0.0757639945967059,3.4915090560913087,5
27,0.7,1.0,15,600,20,0.01,0.1,balanced,0.7198589688899664,0.04737477497730165,0.5274870656657898,0.05801358444039205,4.896026849746704,17
28,0.7,0.0,15,300,20,0.1,0.1,balanced,0.7086644186109143,0.05077987414973876,0.5130027993159697,0.06271449145297424,3.012282133102417,26
29,1.0,1.0,15,600,40,0.01,0.3,balanced,0.7354671517618663,0.04509429746420831,0.5520121920821535,0.062232116765148726,11.398435926437378,2
