setting,dropout,features,hidden,positive_class_weight,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,0.2,bins_3da,"256,64",False,0.7039554110106652,0.033426342164587904,0.47589286490830096,0.04709006988461442,5.291455841064453,14
1,0.2,bins_3da,"256,64",True,0.6951392626957686,0.03922307510859534,0.4747006080423459,0.06440157434912765,3.9942319869995115,16
2,0.2,bins_3da,"512,128",False,0.7145171371334225,0.027122325143548957,0.4810146557139137,0.038720507835502675,8.468651866912841,10
3,0.2,bins_3da,"512,128",True,0.7020381256436605,0.03414766954064303,0.46277273229144456,0.0455801954541848,7.223285388946533,15
4,0.2,bins_18da,"256,64",False,0.7330357056819146,0.02289177887322124,0.4960812500361843,0.03474104467715159,1.32253098487854,4
5,0.2,bins_18da,"256,64",True,0.7238833011384133,0.03364573567390002,0.48705844752215677,0.038308627932030076,3.171970558166504,8
6,0.2,bins_18da,"512,128",False,0.7400935356634306,0.02382009190892419,0.5077307834135423,0.025784313328160082,3.4837910652160646,1
7,0.2,bins_18da,"512,128",True,0.7288025794159962,0.0169274804525499,0.5030170564817544,0.03705578640567647,2.055454730987549,7
8,0.5,bins_3da,"256,64",False,0.7079451575101646,0.030755318172589495,0.47869944319656055,0.03683527778917174,6.900269508361816,12
9,0.5,bins_3da,"256,64",True,0.7160909183563937,0.029845227867476273,0.4895223538083309,0.033623371630558396,5.660470581054687,9
10,0.5,bins_3da,"512,128",False,0.708603845212972,0.030959678381721267,0.4733328404808975,0.035158516007508606,14.63267183303833,11
11,0.5,bins_3da,"512,128",True,0.7057302899524978,0.035845121033848855,0.465076019167733,0.04493043283749108,14.424804544448852,13
12,0.5,bins_18da,"256,64",False,0.7358126265390916,0.029234955703883427,0.5109470983831375,0.04882391979425952,3.1304741859436036,3
13,0.5,bins_18da,"256,64",True,0.7369253339377138,0.026337735709100175,0.5101322324677875,0.04480627677329525,2.938512420654297,2
14,0.5,bins_18da,"512,128",False,0.7292246809022185,0.02816600595463451,0.5052626042656942,0.04286815082914382,3.6588183403015138,6
15,0.5,bins_18da,"512,128",True,0.7299151578563271,0.026548854870197952,0.4927120675880422,0.03457637405504504,4.002108001708985,5
