column,bin_start,bin_end,mz_start,mz_end,mean_abs,mean_signed,rows_used,nonzero_rows,value_correlation
3260,3260,3260,11780.0,11783.0,0.38007160061741374,0.02994396307690892,426,426,0.4125069961720954
2149,2149,2149,8447.0,8450.0,0.27565512501985395,0.012075062217496258,426,426,0.842576073606538
1298,1298,1298,5894.0,5897.0,0.23028765652885086,0.02696753302055029,426,426,0.4844340100390191
1634,1634,1634,6902.0,6905.0,0.14748259231357147,-0.014238940675032764,426,426,0.6023663679279146
1285,1285,1285,5855.0,5858.0,0.13863790846483975,-0.005753647444236673,426,426,-0.8491318984301178
1622,1622,1622,6866.0,6869.0,0.13605163089032976,0.002007054947314661,426,426,-0.8799285200110984
1604,1604,1604,6812.0,6815.0,0.11639165563685874,0.007350416234743705,426,426,-0.58013244364936
2825,2825,2825,10475.0,10478.0,0.11155874308022147,-0.011109650500690614,426,426,0.5894215825328053
2167,2167,2167,8501.0,8504.0,0.09975022597493634,-0.006116727331242331,426,426,-0.776695583336082
1299,1299,1299,5897.0,5900.0,0.09832445481964561,0.002123112124714003,426,426,0.6239120353752214
2824,2824,2824,10472.0,10475.0,0.09799809821160538,-0.005861352587843137,426,426,0.8200039193696412
2168,2168,2168,8504.0,8507.0,0.09528282491402391,0.002574773488636964,426,426,-0.7952828640114554
1300,1300,1300,5900.0,5903.0,0.08577600149668699,-0.00256339792629966,426,426,0.7519627310633328
2150,2150,2150,8450.0,8453.0,0.08270025244233833,0.007302679733681028,426,426,0.7647942039896078
3261,3261,3261,11783.0,11786.0,0.07873381870699607,0.006827582883463659,426,426,0.5116383592348531
1603,1603,1603,6809.0,6812.0,0.07305900555291761,0.008448817415855766,426,426,-0.5145186257370646
3240,3240,3240,11720.0,11723.0,0.07303011197245048,0.005751089372380184,426,426,-0.8774071964053254
1631,1631,1631,6893.0,6896.0,0.07206831035929497,-0.00503784776493795,426,426,0.7936735165088894
1519,1519,1519,6557.0,6560.0,0.06964099018382776,0.010503763570674136,426,426,-0.6157167498724264
2170,2170,2170,8510.0,8513.0,0.06779720544284672,0.0021062159213483247,426,426,-0.8340219135449146
1632,1632,1632,6896.0,6899.0,0.06587463662961379,-0.007217505735104284,426,426,0.7604352440583715
2169,2169,2169,8507.0,8510.0,0.06127690781812464,-0.001791392540010203,426,426,-0.8608061871712435
352,352,352,3056.0,3059.0,0.059346496171338636,-0.0033566234668608976,426,426,0.7796269613825674
4412,4412,4412,15236.0,15239.0,0.05821503021021971,-0.0013984549894233902,426,426,0.7140027646049998
278,278,278,2834.0,2837.0,0.05634000176114833,-0.004518628110713934,426,426,0.6989328060940377
1517,1517,1517,6551.0,6554.0,0.05341636279008294,0.009000995610741537,426,426,-0.8045221764531257
1635,1635,1635,6905.0,6908.0,0.05211583210856751,0.00038272791578321117,426,426,0.7861750250781449
1541,1541,1541,6623.0,6626.0,0.051386700801653695,-0.002891961926382178,426,426,-0.6108337585784718
754,754,754,4262.0,4265.0,0.047823529148417046,-0.003770725850875214,426,426,0.5406113828583846
3257,3257,3257,11771.0,11774.0,0.04781932958934743,0.0037349046808635993,426,426,0.7503609507166057
1623,1623,1623,6869.0,6872.0,0.04641678889032689,0.002902518090437022,426,426,-0.7999786568979935
143,143,143,2429.0,2432.0,0.04314077708876424,8.778916868050124e-05,426,426,0.6297974539619589
94,94,94,2282.0,2285.0,0.042235421306606104,-0.0016507115702574901,426,426,0.7179443100260192
422,422,422,3266.0,3269.0,0.04121030220814855,-0.0018083866616582429,426,426,0.8444642008269482
2148,2148,2148,8444.0,8447.0,0.03988586910679004,0.005149162763294531,426,426,0.7540025107249088
886,886,886,4658.0,4661.0,0.039708119449515446,-0.0007005537247632078,426,426,0.7808884551280683
1884,1884,1884,7652.0,7655.0,0.03920567994570544,-0.007077790772944308,426,426,0.8794255989165465
1314,1314,1314,5942.0,5945.0,0.03892963803428444,0.0002616907680870935,426,426,0.6983859570149925
976,976,976,4928.0,4931.0,0.03860656339223675,0.006228196093462194,426,426,-0.799162341454707
2335,2335,2335,9005.0,9008.0,0.03839100724694503,-0.0033100023638247093,426,426,0.6284142657293811
2336,2336,2336,9008.0,9011.0,0.03832117734837815,-0.003250637520362164,426,426,0.7306502079012164
3259,3259,3259,11777.0,11780.0,0.037757711240405466,0.0029654909179161098,426,426,0.6340997841242481
339,339,339,3017.0,3020.0,0.03774232465218053,0.0017098475975374696,426,426,0.7796280479404877
720,720,720,4160.0,4163.0,0.03730635702506115,-0.001297025738046626,426,426,-0.4728286401145542
2600,2600,2600,9800.0,9803.0,0.036164734031709785,0.0038876481110252485,426,426,-0.6322265318041325
5113,5113,5113,17339.0,17342.0,0.03593076748367646,-0.0036104695009895587,426,426,0.6651398377245618
2561,2561,2561,9683.0,9686.0,0.035808308803273944,0.00392125085685765,426,426,-0.761118999435378
5586,5586,5586,18758.0,18761.0,0.034515429816815324,0.004151546881059294,426,426,-0.6416485321434212
1633,1633,1633,6899.0,6902.0,0.033377559180695675,-0.0027919528147391007,426,426,0.4639413724390703
378,378,378,3134.0,3137.0,0.0331346516222775,0.001157612498690436,426,426,-0.7101251287862178
1851,1851,1851,7553.0,7556.0,0.032552140758837375,0.0013630254654767961,426,426,-0.8229374705319671
2107,2107,2107,8321.0,8324.0,0.032130231504625774,-0.0014052194403464011,426,426,-0.6307804784347357
4039,4039,4039,14117.0,14120.0,0.0320372135338849,-0.0011754938728163581,426,426,-0.7117362859389519
1286,1286,1286,5858.0,5861.0,0.03189966292696316,-0.0007307930448335747,426,426,-0.7164583644586904
2823,2823,2823,10469.0,10472.0,0.03179794840657849,-0.003484157418176957,426,426,0.7488911870451251
4008,4008,4008,14024.0,14027.0,0.03173321508538942,-0.004538765592808988,426,426,0.7493499304283147
3956,3956,3956,13868.0,13871.0,0.03150161918445434,0.0010661905160793599,426,426,0.7658162704255848
960,960,960,4880.0,4883.0,0.031467135084904604,0.0025625896513133267,426,426,0.7205700548517722
353,353,353,3059.0,3062.0,0.031400713163230294,-0.00728142097022601,426,426,0.6932111473081498
755,755,755,4265.0,4268.0,0.031143561599137094,-0.00037941545518671013,426,426,0.7702439128502937
2569,2569,2569,9707.0,9710.0,0.030667471050435283,-0.0013975637105459243,426,426,-0.7277712950800269
1712,1712,1712,7136.0,7139.0,0.03001163422797874,0.001557406682560613,426,426,-0.7429958342145447
469,469,469,3407.0,3410.0,0.029600370876920884,-0.0033000384955084476,426,426,-0.8364332960152429
1011,1011,1011,5033.0,5036.0,0.029357695553590208,-0.0004878755925141148,426,426,0.7352525568066063
2602,2602,2602,9806.0,9809.0,0.02915875252850391,0.001190453414204705,426,426,-0.6859427999411246
4266,4266,4266,14798.0,14801.0,0.027965403173592304,-0.0004311255746126305,426,426,0.6783251993283742
1678,1678,1678,7034.0,7037.0,0.027935324470793405,0.00034766414332924157,426,426,0.8639458738933117
2155,2155,2155,8465.0,8468.0,0.027693294714129377,-0.0006237388828301792,426,426,-0.881165799037232
5811,5811,5811,19433.0,19436.0,0.027675643126030408,0.003541369881719373,426,426,-0.7644437680186389
3434,3434,3434,12302.0,12305.0,0.02748953654245313,0.001076134265291685,426,426,-0.6656132224837362
1897,1897,1897,7691.0,7694.0,0.026883194697916557,0.001620586041242922,426,426,0.7787204616318936
1538,1538,1538,6614.0,6617.0,0.026656310419862047,0.0029761647499401884,426,426,-0.6423591500788725
4317,4317,4317,14951.0,14954.0,0.026567701289158693,-0.000839629740257804,426,426,-0.7363506416512509
3258,3258,3258,11774.0,11777.0,0.026555327653532298,-0.0006820177517017612,426,426,0.8125395817682332
2826,2826,2826,10478.0,10481.0,0.026110017379558603,-0.0034491967662847916,426,426,0.8460929511495201
3203,3203,3203,11609.0,11612.0,0.026054620029688447,0.0008769706833588264,426,426,-0.6721554665940512
2594,2594,2594,9782.0,9785.0,0.025931086063257815,-0.0009208516772119236,426,426,-0.8056883635467579
2838,2838,2838,10514.0,10517.0,0.025515259762627394,-0.00033375486296290043,426,426,-0.5570787890311978
410,410,410,3230.0,3233.0,0.0255033463095047,-0.003157864663821822,426,426,0.6662702541187336
1254,1254,1254,5762.0,5765.0,0.02542195483305821,0.0010453620398626169,426,426,-0.5375525670901009
2615,2615,2615,9845.0,9848.0,0.02535813221115101,-0.0008813812254664983,426,426,-0.6594289750072275
1210,1210,1210,5630.0,5633.0,0.025108791130828013,-0.0019717338811706406,426,426,0.8501042125462515
242,242,242,2726.0,2729.0,0.025092393039350354,0.0007044415829413152,426,426,-0.7631455851793499
3264,3264,3264,11792.0,11795.0,0.02492979267287906,-0.0015001582962420506,426,426,0.5725961448910458
1269,1269,1269,5807.0,5810.0,0.024767766136633024,-0.0009910328940092856,426,426,-0.7380658104848958
193,193,193,2579.0,2582.0,0.02453819518896888,0.0019840932729168906,426,426,-0.8390976912584475
5906,5906,5906,19718.0,19721.0,0.024348346697005748,0.00038658461599338703,426,426,-0.5105305940015566
1982,1982,1982,7946.0,7949.0,0.02424840612364439,0.003792089581684117,426,426,-0.8094782775728624
3732,3732,3732,13196.0,13199.0,0.023741597152357758,0.0032083954548802465,426,426,-0.8334053443111282
721,721,721,4163.0,4166.0,0.023459523679644427,0.0010189994984550752,426,426,-0.4970413415885865
2916,2916,2916,10748.0,10751.0,0.023324776810318165,0.0063056322168848185,426,426,-0.7875546431918415
1522,1522,1522,6566.0,6569.0,0.023260837860041586,0.0012178260436058782,426,426,-0.8078933000122238
1819,1819,1819,7457.0,7460.0,0.02277126281648455,0.0013972218809151092,426,426,-0.7533007495309368
2560,2560,2560,9680.0,9683.0,0.022450840510431093,0.0014803152569537934,426,426,-0.7931668700728964
1518,1518,1518,6554.0,6557.0,0.022279213535162365,0.0030344104880607745,426,426,-0.6722092244886871
2589,2589,2589,9767.0,9770.0,0.022010111786074434,0.0024993157304355465,426,426,0.7858579192638482
