rank,mz_start,mz_end,mean_resistant,mean_susceptible,difference,standardised_difference
1,11771.0,11786.0,0.0007280904835188107,0.0004450353067067734,0.00028305517681203733,0.5788063239057868
2,5894.0,5903.0,0.000975602419687385,0.0006305931529189356,0.0003450092667684494,0.5843761049430823
3,8444.0,8453.0,0.0007976821527193068,0.000567411932629987,0.0002302702200893198,0.5151842511383908
4,6893.0,6908.0,0.00067590552308015,0.0005105296311046335,0.0001653758919755165,0.3886403235979325
5,8501.0,8513.0,0.0004685815947524195,0.0006455440809391487,-0.00017696248618672919,-0.47261935787323617
6,10469.0,10481.0,0.0011658725141363115,0.0007076962117066929,0.0004581763024296186,0.3319643103263336
7,6809.0,6815.0,0.0004573144087751501,0.0009751320453905583,-0.0005178176366154082,-0.38442712235713294
8,6866.0,6872.0,0.0004283212216542857,0.0005428879537955412,-0.00011456673214125547,-0.34067518955767906
9,5855.0,5861.0,0.0003443219263857138,0.0004488213305028202,-0.0001044994041171064,-0.1903843657694105
10,6551.0,6560.0,0.0005895348643965088,0.0006867628593581018,-9.722799496159301e-05,-0.14151949125498364
11,3056.0,3062.0,0.0008293807675705799,0.0007200051508589636,0.00010937561671161633,0.10393460469323784
12,4262.0,4268.0,0.0006145268643593864,0.0005816305401672055,3.2896324192180837e-05,0.07167631046868235
13,9005.0,9011.0,0.0006562783435059259,0.0006108771867887511,4.5401156717174754e-05,0.07218084995123249
14,11720.0,11723.0,7.309838955203127e-05,9.518272086404028e-05,-2.208433131200901e-05,-0.26857308879643493
15,9800.0,9809.0,0.0003681513727575087,0.0004194886624894917,-5.1337289731982966e-05,-0.15544494437563675
16,4160.0,4166.0,0.0013099453405144255,0.001368488569740926,-5.8543229226500505e-05,-0.03534621011362806
17,9680.0,9686.0,0.0002239461516936481,0.00027782165499122774,-5.387550329757963e-05,-0.1461864594158003
18,15236.0,15239.0,4.8709927950877445e-05,4.8592900914185144e-05,1.1702703669230134e-07,0.0029565345563414215
19,2834.0,2837.0,0.0029505577873496377,0.002844174639659563,0.00010638314769007484,0.060743135546212405
20,6623.0,6626.0,0.00011331201378457826,0.00012204022640639284,-8.72821262181458e-06,-0.07378397783213968
