rank,first_column,last_column,mz_start,mz_end,n_columns,total_abs,total_signed,peak_mz,peak_signed,value_correlation,towards
1,3257,3261,11771.0,11786.0,5,0.570937787807695,0.04278992380745053,11781.5,0.02994396307690892,0.4877354609422441,resistant
2,1298,1300,5894.0,5903.0,3,0.4143881128451834,0.02652724721896463,5895.5,0.02696753302055029,0.5729057678888588,resistant
3,2148,2150,8444.0,8453.0,3,0.3982412465689823,0.024526904714471817,8448.5,0.012075062217496258,0.8175525134554181,resistant
4,1631,1635,6893.0,6908.0,5,0.3709189305917434,-0.028903519074030888,6903.5,-0.014238940675032764,0.6809791400666629,resistant
5,2167,2170,8501.0,8513.0,4,0.3241071641499316,-0.0032271304612672457,8502.5,-0.006116727331242331,-0.8100538441531884,susceptible
6,2823,2826,10469.0,10481.0,4,0.26746480707796394,-0.0239043572729955,10476.5,-0.011109650500690614,0.7179212196207498,resistant
7,1603,1604,6809.0,6815.0,2,0.18945066118977635,0.01579923365059947,6810.5,0.008448817415855766,-0.5548293897719149,susceptible
8,1622,1623,6866.0,6872.0,2,0.18246841978065664,0.004909573037751682,6870.5,0.002902518090437022,-0.8595906669053803,susceptible
9,1285,1286,5855.0,5861.0,2,0.17053757139180292,-0.006484440489070248,5856.5,-0.005753647444236673,-0.8243148391834247,susceptible
10,1517,1519,6551.0,6560.0,3,0.14533656650907306,0.022539169669476448,6558.5,0.010503763570674136,-0.6937694198958939,susceptible
11,352,353,3056.0,3062.0,2,0.09074720933456892,-0.010638044437086908,3060.5,-0.00728142097022601,0.7497250149710413,resistant
12,754,755,4262.0,4268.0,2,0.07896709074755415,-0.0041501413060619245,4263.5,-0.003770725850875214,0.6311753731898914,resistant
13,2335,2336,9005.0,9011.0,2,0.07671218459532318,-0.006560639884186873,9006.5,-0.0033100023638247093,0.6794857049278977,resistant
14,3240,3240,11720.0,11723.0,1,0.07303011197245048,0.005751089372380184,11721.5,0.005751089372380184,-0.8774071964053254,susceptible
15,2600,2602,9800.0,9809.0,2,0.0653234865602137,0.005078101525229953,9801.5,0.0038876481110252485,-0.6562041155468118,susceptible
16,720,721,4160.0,4166.0,2,0.06076588070470558,-0.0002780262395915508,4161.5,-0.001297025738046626,-0.4821762943736693,susceptible
17,2560,2561,9680.0,9686.0,2,0.05825914931370504,0.005401566113811444,9684.5,0.00392125085685765,-0.7734690189749287,susceptible
18,4412,4412,15236.0,15239.0,1,0.05821503021021971,-0.0013984549894233902,15237.5,-0.0013984549894233902,0.7140027646049998,resistant
19,278,278,2834.0,2837.0,1,0.05634000176114833,-0.004518628110713934,2835.5,-0.004518628110713934,0.6989328060940377,resistant
20,1541,1541,6623.0,6626.0,1,0.051386700801653695,-0.002891961926382178,6624.5,-0.002891961926382178,-0.6108337585784718,susceptible
