rank,mz_start,mz_end,towards,part,smd
1,11771.0,11786.0,resistant,temporal__DRIAMS-A,-0.19321832981403786
1,11771.0,11786.0,resistant,external__DRIAMS-B,0.29726139580343164
1,11771.0,11786.0,resistant,external__DRIAMS-D,-0.15249614940447087
1,11771.0,11786.0,resistant,external_ab__DRIAMS-D,-0.15249614940447087
2,5894.0,5903.0,resistant,temporal__DRIAMS-A,-0.1415187448623042
2,5894.0,5903.0,resistant,external__DRIAMS-B,-0.09117349031938236
2,5894.0,5903.0,resistant,external__DRIAMS-D,0.23725147207268915
2,5894.0,5903.0,resistant,external_ab__DRIAMS-D,0.23725147207268915
3,8444.0,8453.0,resistant,temporal__DRIAMS-A,-0.027070878055231926
3,8444.0,8453.0,resistant,external__DRIAMS-B,0.10568367566962984
3,8444.0,8453.0,resistant,external__DRIAMS-D,-0.0793237233100376
3,8444.0,8453.0,resistant,external_ab__DRIAMS-D,-0.0793237233100376
4,6893.0,6908.0,resistant,temporal__DRIAMS-A,-0.13621468957119873
4,6893.0,6908.0,resistant,external__DRIAMS-B,-0.09701736980041972
4,6893.0,6908.0,resistant,external__DRIAMS-D,0.35830592302165865
4,6893.0,6908.0,resistant,external_ab__DRIAMS-D,0.35830592302165865
5,8501.0,8513.0,susceptible,temporal__DRIAMS-A,-0.13438709974098448
5,8501.0,8513.0,susceptible,external__DRIAMS-B,-0.11664853663357629
5,8501.0,8513.0,susceptible,external__DRIAMS-D,-0.42471055314642053
5,8501.0,8513.0,susceptible,external_ab__DRIAMS-D,-0.42471055314642053
6,10469.0,10481.0,resistant,temporal__DRIAMS-A,-0.07661229048853531
6,10469.0,10481.0,resistant,external__DRIAMS-B,-0.09228047664060475
6,10469.0,10481.0,resistant,external__DRIAMS-D,-0.25456144253505597
6,10469.0,10481.0,resistant,external_ab__DRIAMS-D,-0.25456144253505597
7,6809.0,6815.0,susceptible,temporal__DRIAMS-A,0.049279071252602294
7,6809.0,6815.0,susceptible,external__DRIAMS-B,0.09839942331723568
7,6809.0,6815.0,susceptible,external__DRIAMS-D,0.15223302425483085
7,6809.0,6815.0,susceptible,external_ab__DRIAMS-D,0.15223302425483085
8,6866.0,6872.0,susceptible,temporal__DRIAMS-A,-0.16905144022217722
8,6866.0,6872.0,susceptible,external__DRIAMS-B,0.2627236258520768
8,6866.0,6872.0,susceptible,external__DRIAMS-D,0.09748294430864148
8,6866.0,6872.0,susceptible,external_ab__DRIAMS-D,0.09748294430864148
9,5855.0,5861.0,susceptible,temporal__DRIAMS-A,-0.011640676741176848
9,5855.0,5861.0,susceptible,external__DRIAMS-B,-0.19858363864101106
9,5855.0,5861.0,susceptible,external__DRIAMS-D,0.18136930444665697
9,5855.0,5861.0,susceptible,external_ab__DRIAMS-D,0.18136930444665697
10,6551.0,6560.0,susceptible,temporal__DRIAMS-A,-0.023696737430859753
10,6551.0,6560.0,susceptible,external__DRIAMS-B,-0.08765719418728968
10,6551.0,6560.0,susceptible,external__DRIAMS-D,0.03438692526890021
10,6551.0,6560.0,susceptible,external_ab__DRIAMS-D,0.03438692526890021
11,3056.0,3062.0,resistant,temporal__DRIAMS-A,0.045255417994829156
11,3056.0,3062.0,resistant,external__DRIAMS-B,0.18196490041916868
11,3056.0,3062.0,resistant,external__DRIAMS-D,0.01755883094416292
11,3056.0,3062.0,resistant,external_ab__DRIAMS-D,0.01755883094416292
12,4262.0,4268.0,resistant,temporal__DRIAMS-A,-0.09175417438804159
12,4262.0,4268.0,resistant,external__DRIAMS-B,-0.7676769509128643
12,4262.0,4268.0,resistant,external__DRIAMS-D,-0.18154848444663352
12,4262.0,4268.0,resistant,external_ab__DRIAMS-D,-0.18154848444663352
13,9005.0,9011.0,resistant,temporal__DRIAMS-A,-0.2645682468513702
13,9005.0,9011.0,resistant,external__DRIAMS-B,-0.24298190390785607
13,9005.0,9011.0,resistant,external__DRIAMS-D,-0.3703967507141637
13,9005.0,9011.0,resistant,external_ab__DRIAMS-D,-0.3703967507141637
14,11720.0,11723.0,susceptible,temporal__DRIAMS-A,-0.20556580753863252
14,11720.0,11723.0,susceptible,external__DRIAMS-B,-0.16962343304515914
14,11720.0,11723.0,susceptible,external__DRIAMS-D,-0.25051839579745794
14,11720.0,11723.0,susceptible,external_ab__DRIAMS-D,-0.25051839579745794
15,9800.0,9809.0,susceptible,temporal__DRIAMS-A,-0.05239860343386411
