experiment,split,model,seed,train_size,n,n_resistant,threshold,roc_auc,pr_auc,brier,sensitivity,specificity,logged_at,logged_stage,source
random,random,tuned_lightgbm,42,2977,856,197,0.1426154069390507,0.75086078737974,0.5556020649599568,0.1437183073862702,0.8274111675126904,0.4582701062215478,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random,random,tuned_lightgbm,43,2977,856,197,0.1376264573440549,0.7575314081480169,0.5703597798614528,0.1412319236274396,0.8426395939086294,0.4097116843702579,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random,random,tuned_lightgbm,44,2977,856,197,0.1303357483464576,0.7449989601226285,0.5601456936410495,0.1436199751591557,0.8477157360406091,0.3975720789074355,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random,random,tuned_lightgbm,45,2977,856,197,0.1208171886136126,0.7484960292089999,0.5609587836458821,0.1425606420434546,0.8984771573604061,0.3611532625189681,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random,random,tuned_lightgbm,46,2977,856,197,0.1254641497791157,0.7555748981305317,0.5745406700430455,0.1407008539312248,0.868020304568528,0.385432473444613,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random_size_matched,random,tuned_lightgbm,42,1284,856,197,0.1204247352645718,0.72205233279157,0.5240086067638743,0.1491525553421182,0.9441624365482234,0.2776934749620637,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random_size_matched,random,tuned_lightgbm,43,1284,856,197,0.1139160287809038,0.7042896867273134,0.5055635411238614,0.1524727134802979,0.949238578680203,0.25948406676783,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random_size_matched,random,tuned_lightgbm,44,1284,856,197,0.1305034983144007,0.7229150458701463,0.5187471910789027,0.1496050942368444,0.9238578680203046,0.3095599393019727,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random_size_matched,random,tuned_lightgbm,45,1284,856,197,0.1325437362575438,0.7268434714958059,0.5342357443946163,0.1472386140154194,0.9238578680203046,0.3277693474962064,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
random_size_matched,random,tuned_lightgbm,46,1284,856,197,0.1154724736133627,0.699737334678755,0.505599189485966,0.1528398607494088,0.934010152284264,0.2776934749620637,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
within_year,within_year,tuned_lightgbm,42,1284,366,85,0.1602172291860387,0.7281976135649989,0.5210899659514107,0.1517052859624472,0.8705882352941177,0.4555160142348754,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
within_year,within_year,tuned_lightgbm,43,1284,366,85,0.1567509419184105,0.7322168725141303,0.5266313781579309,0.1516129669486024,0.8117647058823529,0.4377224199288256,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
within_year,within_year,tuned_lightgbm,44,1284,366,85,0.1840711640351018,0.7508896797153025,0.5441889366787149,0.1474141128626791,0.7529411764705882,0.5160142348754448,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
within_year,within_year,tuned_lightgbm,45,1284,366,85,0.1811653462708103,0.7270253297048356,0.5341583891363616,0.1501753526139503,0.7294117647058823,0.505338078291815,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
within_year,within_year,tuned_lightgbm,46,1284,366,85,0.1438621359929657,0.7295373665480426,0.5235820103860953,0.1517141727584669,0.8235294117647058,0.4056939501779359,2026-09-18 12:54:46,v0.4-tuned,reused from the test log; not scored again in this version
